Recipe ID,Ingredient
Recipe 32,cantaloupe - seeded cut
Recipe 32,wedges
Recipe 32,thin slices
Recipe 33,extra virgin olive oil
Recipe 33,cherry peppers
Recipe 33,sharp provolone cheese
Recipe 33,prosciutto
Recipe 33,salt
Recipe 34,toothpicks
Recipe 34,grape cherry
Recipe 34,basil leaves
Recipe 34,balls
Recipe 34,mozzarella cheese
Recipe 34,salt pepper
Recipe 34,balsamic vinegar
Recipe 34,extra virgin olive oil
Recipe 35,zucchini blossoms
Recipe 35,soft goat cheese
Recipe 35,room temperature
Recipe 35,Gruyere cheese
Recipe 35,egg yolk
Recipe 35,black pepper
Recipe 35,cayenne pepper
Recipe 35,self-rising flour
Recipe 35,cornstarch
Recipe 35,ice- water
Recipe 35,vegetable oil
Recipe 35,all-purpose flour
Recipe 36,cauliflower
Recipe 36,pearl onions
Recipe 36,red bell peppers
Recipe 36,green bell peppers
Recipe 36,celery
Recipe 36,"cucumbers - peeled, seeded"
Recipe 36,carrots
Recipe 36,vegetable oil
Recipe 36,distilled white vinegar
Recipe 36,tomato
Recipe 36,pickling spice
Recipe 36,cheesecloth
Recipe 36,black olives
Recipe 36,green olives
Recipe 36,canned mushrooms
Recipe 36,cans tuna
Recipe 37,cans
Recipe 37,crescent dinner rolls
Recipe 37,ham
Recipe 37,provolone cheese
Recipe 37,Swiss cheese
Recipe 37,Genoa salami
Recipe 37,pepperoni sausage
Recipe 37,jar red peppers
Recipe 37,thin strips
Recipe 37,eggs
Recipe 37,Parmesan cheese
Recipe 37,ground black pepper
Recipe 38,pint cherry
Recipe 38,package basil leaves
Recipe 38,package mozzarella balls
Recipe 38,toothpicks
Recipe 38,olive oil
Recipe 38,salt pepper
Recipe 39,sprigs basil
Recipe 39,watermelon
Recipe 39,fruit
Recipe 39,a melon baller
Recipe 39,package mozzarella cheese
Recipe 39,pieces
Recipe 39,olive oil
Recipe 39,balsamic vinegar
Recipe 39,salt ground black pepper
Recipe 40,cans tuna
Recipe 40,olive oil
Recipe 40,butter
Recipe 40,room temperature
Recipe 40,capers
Recipe 40,Italian flat-leaf parsley
Recipe 40,lemon juice
Recipe 40,salt ground black pepper
Recipe 41,mushrooms
Recipe 41,extra-virgin olive oil
Recipe 41,white wine vinegar
Recipe 41,red onion
Recipe 41,oregano
Recipe 41,thyme
Recipe 41,garlic cloves
Recipe 41,salt
Recipe 41,black pepper
Recipe 42,iceberg lettuce
Recipe 42,garlic powder
Recipe 42,dried oregano
Recipe 42,bottle
Recipe 42,Italian-style salad
Recipe 42,ham
Recipe 42,provolone cheese
Recipe 42,Genoa salami
Recipe 42,Capacola sausage
Recipe 42,pepperoni sausage
Recipe 42,prosciutto
Recipe 42,roast beef
Recipe 42,mushrooms
Recipe 42,hearts
Recipe 42,jar red peppers
Recipe 42,olives
Recipe 42,pepperoncini peppers
Recipe 42,jar
Recipe 42,pimento-stuffed green olives
Recipe 42,Gorgonzola cheese
Recipe 42,mozzarella cheese
Recipe 42,Parmesan cheese
Recipe 43,"ripe, sweet freestone peaches"
Recipe 43,thin slices
Recipe 43,ribbons
Recipe 43,bamboo skewers
Recipe 43,water minutes
Recipe 43,burrata cheese
Recipe 43,extra virgin olive oil
Recipe 43,Coarse sea salt
Recipe 43,black pepper
Recipe 43,basil leaves
Recipe 44,sprigs
Recipe 44,mozzarella balls
Recipe 44,Castelvetrano olives
Recipe 44,Kalamata olives
Recipe 44,sugar plum tomatoes
Recipe 45,container mozzarella balls
Recipe 45,package basil leaves
Recipe 45,container cherry tomatoes
Recipe 45,skewers
Recipe 45,salt ground black pepper
Recipe 46,stalks
Recipe 46,celery
Recipe 46,pieces
Recipe 46,olive oil
Recipe 46,onion
Recipe 46,eggplant
Recipe 46,bite-size pieces
Recipe 46,red bell peppers
Recipe 46,zucchini
Recipe 46,tomato puree
Recipe 46,white vinegar
Recipe 46,white sugar
Recipe 46,black olives
Recipe 46,raisins
Recipe 46,pine nuts
Recipe 46,capers
Recipe 46,salt ground black pepper
Recipe 46,basil
Recipe 47,red bell pepper
Recipe 47,yellow bell pepper
Recipe 47,orange bell pepper
Recipe 47,extra-virgin olive oil
Recipe 47,garlic
Recipe 47,basil leaves
Recipe 47,dried oregano
Recipe 47,salt
Recipe 47,ground black pepper
Recipe 48,package
Recipe 48,pints cherry tomatoes
Recipe 48,pesto
Recipe 48,toothpicks
Recipe 49,bunches parsley
Recipe 49,fillets
Recipe 49,cloves garlic
Recipe 49,tomato paste
Recipe 49,distilled white vinegar
Recipe 49,extra virgin olive oil
Recipe 50,mozzarella cheese
Recipe 50,Parmesan-Reggiano cheese
Recipe 50,zucchini blossoms
Recipe 50,rice flour
Recipe 50,eggs
Recipe 50,milk
Recipe 50,sparkling water
Recipe 50,sweet rice flour
Recipe 50,salt ground black pepper
Recipe 50,oil
Recipe 51,green bell pepper
Recipe 51,red bell pepper
Recipe 51,yellow bell pepper
Recipe 51,green beans
Recipe 51,pieces
Recipe 51,white onion
Recipe 51,"cloves garlic, pressed"
Recipe 51,head broccoli
Recipe 51,head
Recipe 51,stalks celery
Recipe 51,mushrooms
Recipe 51,olive oil
Recipe 51,ketchup
Recipe 51,tomatoes
Recipe 51,white vinegar
Recipe 51,balsamic vinegar
Recipe 51,salt ground black pepper
Recipe 51,black olives
Recipe 51,jar
Recipe 51,green olives
Recipe 51,bunch basil
Recipe 51,half-pint canning jars lids rings
Recipe 52,cherry peppers
Recipe 52,package mozzarella cheese
Recipe 52,slices
Recipe 52,olive oil
Recipe 52,Parmesan cheese
Recipe 52,cloves garlic
Recipe 52,oregano
Recipe 52,thyme
Recipe 52,salt
Recipe 52,ground black pepper
Recipe 52,red pepper flakes
Recipe 53,lime juice
Recipe 53,honeydew melon
Recipe 53,fruit
Recipe 53,a melon baller
Recipe 53,prosciutto
Recipe 53,sprigs mint
Recipe 54,butter
Recipe 54,shallots
Recipe 54,frozen peas
Recipe 54,salt
Recipe 54,mint
Recipe 54,slices
Recipe 54,bread
Recipe 54,extra-virgin olive oil
Recipe 54,garlic
Recipe 55,package prosciutto
Recipe 55,package
Recipe 55,Italian breadsticks
Recipe 56,feta cheese
Recipe 56,chile pepper
Recipe 56,de Provence
Recipe 56,lemon zest
Recipe 56,olive oil
Recipe 57,olive oil
Recipe 57,zucchinis
Recipe 57,lengthwise
Recipe 57,package
Recipe 57,feta cheese
Recipe 57,cloves garlic
Recipe 57,dried Italian herbs
Recipe 57,balsamic vinegar
Recipe 58,skewers
Recipe 58,basil
Recipe 58,blackberries
Recipe 58,mozzarella balls
Recipe 58,dried apricots
Recipe 58,balsamic glaze
Recipe 59,cherry tomatoes
Recipe 59,creamy salad dressing
Recipe 59,can bacon bits
Recipe 59,green onions
Recipe 59,Parmesan cheese
Recipe 59,parsley
Recipe 60,olive oil
Recipe 60,"Japanese eggplant, cut into /- cubes"
Recipe 60,yellow onion
Recipe 60,cloves garlic
Recipe 60,tomatoes
Recipe 60,red wine
Recipe 60,capers
Recipe 60,dried oregano
Recipe 60,ground cinnamon
Recipe 60,ground allspice
Recipe 60,cocoa powder
Recipe 60,white sugar
Recipe 60,bay leaf
Recipe 61,olive oil
Recipe 61,Japanese other eggplant
Recipe 61,cubes
Recipe 61,onion
Recipe 61,cloves garlic
Recipe 61,dried oregano
Recipe 61,ground cinnamon
Recipe 61,ground allspice
Recipe 61,salt
Recipe 61,black pepper
Recipe 61,tomatoes
Recipe 61,water
Recipe 61,dry red wine
Recipe 61,bay leaf
Recipe 61,white sugar
Recipe 61,capers
Recipe 61,red wine vinegar
Recipe 62,black olives
Recipe 62,"sage leaves, more"
Recipe 62,garlic
Recipe 62,red chile pepper
Recipe 62,sprig rosemary
Recipe 62,red bell pepper
Recipe 62,sesame-ginger seasoning
Recipe 62,pepperoncini pepper
Recipe 62,oregano
Recipe 62,feta cheese
Recipe 62,olive oil
Recipe 63,olive oil
Recipe 63,eggplant
Recipe 63,red bell pepper
Recipe 63,thin strips
Recipe 63,green bell pepper
Recipe 63,onion
Recipe 63,carrot
Recipe 63,salt
Recipe 63,red pepper flakes
Recipe 64,"egg white, lightly"
Recipe 64,water
Recipe 64,pecan halves
Recipe 64,white sugar
Recipe 64,ground cinnamon
Recipe 64,salt
Recipe 64,ground cloves
Recipe 64,ground nutmeg
Recipe 65,butter
Recipe 65,chunks
Recipe 65,brown sugar
Recipe 65,white sugar
Recipe 65,salt
Recipe 65,ground cinnamon
Recipe 65,water
Recipe 65,pie dough
Recipe 65,pieces
Recipe 65,egg
Recipe 65,milk
Recipe 66,"apples - peeled, cored"
Recipe 66,white sugar
Recipe 66,all-purpose flour
Recipe 66,ground cinnamon
Recipe 66,ground nutmeg
Recipe 66,ground allspice
Recipe 66,frozen pie crust
Recipe 66,butter
Recipe 66,aluminum foil
Recipe 66,rolled oats
Recipe 66,packed brown sugar
Recipe 66,lemon zest
Recipe 67,pie crusts
Recipe 67,peeled apples
Recipe 67,cranberries
Recipe 67,white sugar
Recipe 67,cornstarch
Recipe 67,ground cinnamon
Recipe 67,butter
Recipe 67,pieces
Recipe 68,Granny Smith apples
Recipe 68,butter
Recipe 68,all-purpose flour
Recipe 68,white sugar
Recipe 68,packed brown sugar
Recipe 68,water
Recipe 68,double-crust pie pastry
Recipe 69,apples
Recipe 69,lemon juice
Recipe 69,water
Recipe 69,white sugar
Recipe 69,cornstarch
Recipe 69,ground cinnamon
Recipe 69,salt
Recipe 69,ground nutmeg
Recipe 70,butter
Recipe 70,white sugar
Recipe 70,Granny Smith
Recipe 70,all-purpose flour
Recipe 70,- unbaked pie crust
Recipe 71,white sugar
Recipe 71,cornstarch
Recipe 71,ground cinnamon
Recipe 71,ground nutmeg
Recipe 71,water
Recipe 71,salt
Recipe 71,lemon juice
Recipe 71,yellow food
Recipe 71,apples
Recipe 72,package pastry
Recipe 72,a - double-crust pie
Recipe 72,white sugar
Recipe 72,ground cinnamon
Recipe 72,apples
Recipe 72,butter
Recipe 73,apples
Recipe 73,lemon juice
Recipe 73,white sugar
Recipe 73,all-purpose flour
Recipe 73,ground cinnamon
Recipe 73,ground nutmeg
Recipe 73,raisins
Recipe 73,walnuts
Recipe 73,pie shell
Recipe 73,packed brown sugar
Recipe 73,butter
Recipe 74,package pastry
Recipe 74,a double-crust - pie
Recipe 74,"peeled, cored apples"
Recipe 74,white sugar
Recipe 74,all-purpose flour
Recipe 74,ground cinnamon
Recipe 74,salt
Recipe 74,ground nutmeg
Recipe 74,butter
Recipe 75,all-purpose flour
Recipe 75,salt
Recipe 75,shortening
Recipe 75,water
Recipe 75,"apples - peeled, cored"
Recipe 75,white sugar
Recipe 75,ground cinnamon
Recipe 75,quart oil
Recipe 76,butter
Recipe 76,brown sugar
Recipe 76,Granny Smith apples
Recipe 76,prerolled pie crusts
Recipe 76,white sugar
Recipe 76,ground cinnamon
Recipe 76,chunks
Recipe 77,pie crusts
Recipe 77,juice concentrate
Recipe 77,cornstarch
Recipe 77,ground cinnamon
Recipe 77,green apples
Recipe 78,white sugar
Recipe 78,brown sugar
Recipe 78,butter
Recipe 78,water
Recipe 78,cinnamon
Recipe 78,salt
Recipe 78,pastry
Recipe 78,double-crust pie
Recipe 78,"apples - peeled, cored"
Recipe 79,peeled apples
Recipe 79,brown sugar
Recipe 79,white sugar
Recipe 79,all-purpose flour
Recipe 79,ground cinnamon
Recipe 79,deep-dish pie shell
Recipe 79,quick-cooking oats
Recipe 79,butter
Recipe 80,Granny Smith
Recipe 80,sugar
Recipe 80,flour
Recipe 80,butter
Recipe 80,egg
Recipe 80,cinnamon
Recipe 81,butter
Recipe 81,brown sugar
Recipe 81,white sugar
Recipe 81,water
Recipe 81,ground cinnamon
Recipe 81,salt
Recipe 81,double crust
Recipe 81,pie crust
Recipe 81,Pillsbury®
Recipe 81,red apples
Recipe 82,Granny Smith apples
Recipe 82,brown sugar
Recipe 82,butter
Recipe 82,ground cinnamon
Recipe 82,cornstarch
Recipe 82,water
Recipe 82,package pastry
Recipe 82,a - double crust pie
Recipe 82,cooking spray
Recipe 82,grapeseed oil
Recipe 82,confectioners' sugar
Recipe 82,milk
Recipe 83,package
Recipe 83,pie crusts
Recipe 83,pie
Recipe 83,egg
Recipe 83,cinnamon sugar
Recipe 83,cooking spray
Recipe 84,milk
Recipe 84,shortening
Recipe 84,egg
Recipe 84,vanilla extract
Recipe 84,all-purpose flour
Recipe 84,white sugar
Recipe 84,baking powder
Recipe 84,salt
Recipe 84,"apples - peeled, cored, , more"
Recipe 84,butter
Recipe 84,ground cinnamon
Recipe 85,unbaked pie crust
Recipe 85,sugar
Recipe 85,all-purpose flour
Recipe 85,salt
Recipe 85,sour cream
Recipe 85,vanilla extract
Recipe 85,egg
Recipe 85,apples
Recipe 85,ground cinnamon
Recipe 85,chilled butter
Recipe 86,pastries
Recipe 86,single crust pies
Recipe 86,Granny Smith apple
Recipe 86,instant tapioca
Recipe 86,white sugar
Recipe 86,lemon juice
Recipe 86,ground nutmeg
Recipe 86,ground cinnamon
Recipe 87,all-purpose flour
Recipe 87,butter
Recipe 87,eggs
Recipe 87,white sugar
Recipe 87,ground cinnamon
Recipe 87,"tart apples - peeled, cored"
Recipe 87,sultana raisins
Recipe 88,deep dish pie crust
Recipe 88,"apples - peeled, cored"
Recipe 88,white sugar
Recipe 88,ground cinnamon
Recipe 88,all-purpose flour
Recipe 88,butter
Recipe 89,all-purpose flour
Recipe 89,white sugar
Recipe 89,butter
Recipe 89,water
Recipe 89,Granny Smith
Recipe 89,brown sugar
Recipe 89,ground cinnamon
Recipe 89,ground nutmeg
Recipe 89,ground ginger
Recipe 89,lemon juice
Recipe 89,graham cracker crumbs
Recipe 89,superfine sugar
Recipe 89,12x30- pieces
Recipe 89,parchment paper
Recipe 90,all-purpose flour
Recipe 90,white sugar
Recipe 90,baking powder
Recipe 90,salt
Recipe 90,shortening
Recipe 90,egg yolks
Recipe 90,water
Recipe 90,thin wedges
Recipe 90,lemon juice
Recipe 90,ground cinnamon
Recipe 90,butter
Recipe 90,brown sugar
Recipe 91,all-purpose flour
Recipe 91,salt
Recipe 91,shortening
Recipe 91,egg yolk
Recipe 91,milk
Recipe 91,"apples - peeled, cored"
Recipe 91,light brown sugar
Recipe 91,white sugar
Recipe 91,ground cinnamon
Recipe 91,ground nutmeg
Recipe 91,egg white
Recipe 92,- pie crust
Recipe 92,Granny Smith
Recipe 92,white sugar
Recipe 92,all-purpose flour
Recipe 92,ground cinnamon
Recipe 92,lemon juice
Recipe 92,butter
Recipe 93,butter
Recipe 93,packed brown sugar
Recipe 93,all-purpose flour
Recipe 93,pecans
Recipe 93,"apple - peeled, cored"
Recipe 93,white sugar
Recipe 93,ground cinnamon
Recipe 93,recipes
Recipe 93,pie shells
Recipe 94,all-purpose flour
Recipe 94,salt
Recipe 94,shortening
Recipe 94,water
Recipe 94,eggs
Recipe 94,lemon juice
Recipe 94,slices
Recipe 94,white sugar
Recipe 94,ground cinnamon
Recipe 95,Granny Smith apples
Recipe 95,white sugar
Recipe 95,brown sugar
Recipe 95,ground cinnamon
Recipe 95,all-purpose flour
Recipe 95,butter
Recipe 95,recipe pastry
Recipe 95,a double crust pie
Recipe 96,all-purpose flour
Recipe 96,salt
Recipe 96,butter
Recipe 96,egg yolk
Recipe 96,water
Recipe 96,white sugar
Recipe 96,egg
Recipe 96,apple brandy
Recipe 96,ground almonds
Recipe 96,"sweet apples - peeled, cored"
Recipe 96,decoration
Recipe 96,apricot jelly
Recipe 97,recipe pastry
Recipe 97,a double crust pie
Recipe 97,all-purpose flour
Recipe 97,salt
Recipe 97,ground cinnamon
Recipe 97,"apples - peeled, cored"
Recipe 97,lemon juice
Recipe 97,butter
Recipe 98,white sugar
Recipe 98,all-purpose flour
Recipe 98,ground cinnamon
Recipe 98,ground nutmeg
Recipe 98,lemon zest
Recipe 98,apples
Recipe 98,lemon juice
Recipe 98,butter
Recipe 98,recipe pastry
Recipe 98,a double crust pie
Recipe 98,milk
Recipe 99,all-purpose flour
Recipe 99,vegetable oil
Recipe 99,milk
Recipe 99,white sugar
Recipe 99,salt
Recipe 99,Fuji apples
Recipe 99,ground cinnamon
Recipe 99,ground nutmeg
Recipe 99,butter
Recipe 100,packed light brown sugar
Recipe 100,white sugar
Recipe 100,all-purpose flour
Recipe 100,lemon juice
Recipe 100,ground cinnamon
Recipe 100,"peeled, cored apples"
Recipe 100,raisins
Recipe 100,recipe pastry
Recipe 100,a double crust pie
Recipe 100,egg
Recipe 101,pie shell
Recipe 101,butter
Recipe 101,white sugar
Recipe 101,eggs
Recipe 101,applesauce
Recipe 101,vanilla extract
Recipe 101,ground cinnamon
Recipe 102,"peeled, cored apples"
Recipe 102,ground cinnamon
Recipe 102,white sugar
Recipe 102,margarine
Recipe 102,pecans
Recipe 102,all-purpose flour
Recipe 102,egg
Recipe 102,salt
Recipe 103,pastry
Recipe 103,a double crust pie
Recipe 103,white sugar
Recipe 103,tapioca
Recipe 103,ground cinnamon
Recipe 103,blackberries
Recipe 103,"apples - peeled, cored"
Recipe 103,butter
Recipe 103,pieces
Recipe 104,butter
Recipe 104,brown sugar
Recipe 104,refrigerated - pie crusts
Recipe 104,Granny Smith apples
Recipe 104,white sugar
Recipe 104,ground cinnamon
Recipe 104,all-purpose flour
Recipe 105,"apples - peeled, cored"
Recipe 105,ground cinnamon
Recipe 105,butter
Recipe 105,room temperature
Recipe 105,white sugar
Recipe 105,vanilla sugar
Recipe 105,egg
Recipe 105,all-purpose flour
Recipe 105,baking powder
Recipe 106,pecans
Recipe 106,firmly packed brown sugar
Recipe 106,margarine
Recipe 106,pastry
Recipe 106,a double crust pie
Recipe 106,Granny Smith
Recipe 106,white sugar
Recipe 106,all-purpose flour
Recipe 106,ground cinnamon
Recipe 106,ground nutmeg
Recipe 107,white sugar
Recipe 107,milk
Recipe 107,heavy cream
Recipe 107,butter
Recipe 107,cornstarch
Recipe 107,vanilla extract
Recipe 107,"tart apples - peeled, cored"
Recipe 107,all-purpose flour
Recipe 107,ground cinnamon
Recipe 107,package pastry
Recipe 107,double-crust pie
Recipe 107,confectioners' sugar
Recipe 108,pie shell
Recipe 108,"apple - peeled, cored"
Recipe 108,rhubarb
Recipe 108,white sugar
Recipe 108,ground cinnamon
Recipe 109,sweet apples
Recipe 109,sugar
Recipe 109,flour
Recipe 109,salt
Recipe 109,apple pie spice
Recipe 109,vanilla extract
Recipe 109,package
Recipe 109,pie crust
Recipe 109,milk
Recipe 109,egg
Recipe 110,"peeled, Golden Delicious Braeburn apples"
Recipe 110,firmly packed brown sugar
Recipe 110,ground cinnamon
Recipe 110,Classic Crisco® Pie Crust
Recipe 110,BRAND® Sweetened Condensed Milk
Recipe 110,butter
Recipe 110,Pillsbury BEST®
Recipe 110,All Purpose Flour
Recipe 110,walnuts
Recipe 111,butter
Recipe 111,all-purpose flour
Recipe 111,white sugar
Recipe 111,brown sugar
Recipe 111,water
Recipe 111,lemon juice
Recipe 111,container blackberries
Recipe 111,package
Recipe 111,double-crust pie pastry
Recipe 111,Granny Smith
Recipe 112,apples
Recipe 112,blueberries
Recipe 112,deep dish pie crust
Recipe 112,all-purpose flour
Recipe 112,white sugar
Recipe 112,salt
Recipe 112,ground nutmeg
Recipe 112,ground cinnamon
Recipe 112,plain yogurt
Recipe 112,egg
Recipe 112,vanilla extract
Recipe 112,pecans
Recipe 112,rolled oats
Recipe 112,brown sugar
Recipe 112,butter
Recipe 113,butter
Recipe 113,all-purpose flour
Recipe 113,packed brown sugar
Recipe 113,water
Recipe 113,package
Recipe 113,double-crust pie pastry
Recipe 113,Granny Smith
Recipe 114,white sugar
Recipe 114,all-purpose flour
Recipe 114,ground cinnamon
Recipe 114,butter
Recipe 114,package
Recipe 114,double-crust pie pastry
Recipe 114,"tart apples - peeled, cored"
Recipe 115,apples
Recipe 115,white sugar
Recipe 115,cornstarch
Recipe 115,ground cinnamon
Recipe 115,vanilla extract
Recipe 115,pie crust
Recipe 116,all-purpose flour
Recipe 116,white sugar
Recipe 116,salt
Recipe 116,butter
Recipe 116,eggs
Recipe 116,vanilla extract
Recipe 116,Granny Smith
Recipe 116,brown sugar
Recipe 116,ground cinnamon
Recipe 116,walnuts
Recipe 116,apricot jam
Recipe 117,all-purpose flour
Recipe 117,cake flour
Recipe 117,white sugar
Recipe 117,salt
Recipe 117,butter
Recipe 117,shortening
Recipe 117,sour cream
Recipe 117,lemon juice
Recipe 117,Granny Smith
Recipe 117,ground nutmeg
Recipe 117,egg
Recipe 118,"apples - peeled, cored"
Recipe 118,white sugar
Recipe 118,ground cinnamon
Recipe 118,ground nutmeg
Recipe 118,package pastry
Recipe 118,double-crust pie
Recipe 119,"tart apples - peeled, cored"
Recipe 119,ground cinnamon
Recipe 119,ground nutmeg
Recipe 119,white sugar
Recipe 119,milk
Recipe 119,biscuit mix
Recipe 119,eggs
Recipe 119,butter
Recipe 119,walnuts
Recipe 119,light brown sugar
Recipe 120,all-purpose flour
Recipe 120,vegan margarine
Recipe 120,white sugar
Recipe 120,salt
Recipe 120,ice water
Recipe 120,brown sugar
Recipe 120,rice milk
Recipe 120,ground cinnamon
Recipe 120,ground nutmeg
Recipe 120,Granny Smith
Recipe 121,sheet frozen puff pastry
Recipe 121,packed brown sugar
Recipe 121,white sugar
Recipe 121,ground cinnamon
Recipe 121,salt
Recipe 121,butter
Recipe 121,lemon juice
